ID,Attribute,Data type,Represents
6001,Nortel-Port-Priority,,
8097,Certificate-EKU,,
8098,EAP-Configuration,,
8099,MS-PEAP-Embedded-EAP-TypeId,,
8100,MS-PEAP-Fast-Roamed-Session,,
8101,IAS-EAP-TypeId,,
8102,EAP-TLV,,
8103,Reject-Reason-Code,,
8104,Proxy-EAP-Configuration,,
8105,Session,,
8106,Is-Replay,,
8107,Clear-Text-Password,,
11000,USR-Last-Number-Dialed-Out,,
11001,USR-Last-Number-Dialed-In-DNIS,,
11002,USR-Last-Callers-Number-ANI,,
11003,USR-Channel,,
11004,USR-Event-Id,,
11005,USR-Event-Date-Time,,
11006,USR-Call-Start-Date-Time,,
11007,USR-Call-End-Date-Time,,
11008,USR-Default-DTE-Data-Rate,,
11009,USR-Initial-Rx-Link-Data-Rate,,
11010,USR-Final-Rx-Link-Data-Rate,,
11011,USR-Initial-Tx-Link-Data-Rate,,
11012,USR-Final-Tx-Link-Data-Rate,,
11013,USR-Chassis-Temperature,,
11014,USR-Chassis-Temp-Threshold,,
11015,USR-Actual-Voltage,,
11016,USR-Expected-Voltage,,
11017,USR-Power-Supply-Number,,
11018,USR-Card-Type,,
11019,USR-Chassis-Slot,,
11020,USR-Sync-Async-Mode,,
11021,USR-Originate-Answer-Mode,,
11022,USR-Modulation-Type,,
11023,USR-Initial-Modulation-Type,,
11024,USR-Connect-Term-Reason,,
11025,USR-Failure-to-Connect-Reason,,
11026,USR-Equalization-Type,,
11027,USR-Fallback-Enabled,,
11028,USR-Connect-Time-Limit,,
11029,USR-Number-of-Rings-Limit,,
11030,USR-DTE-Data-Idle-Timout,,
11031,USR-Characters-Sent,,
11032,USR-Characters-Received,,
11033,USR-Blocks-Sent,,
11034,USR-Blocks-Received,,
11035,USR-Blocks-Resent,,
11036,USR-Retrains-Requested,,
11037,USR-Retrains-Granted,,
11038,USR-Line-Reversals,,
11039,USR-Number-Of-Characters-Lost,,
11040,USR-Number-of-Blers,,
11041,USR-Number-of-Link-Timeouts,,
11042,USR-Number-of-Fallbacks,,
11043,USR-Number-of-Upshifts,,
11044,USR-Number-of-Link-NAKs,,
11045,USR-DTR-False-Timeout,,
11046,USR-Fallback-Limit,,
11047,USR-Block-Error-Count-Limit,,
11048,USR-DTR-True-Timeout,,
11049,USR-Security-Login-Limit,,
11050,USR-Security-Resp-Limit,,
11051,USR-DTE-Ring-No-Answer-Limit,,
11052,USR-Back-Channel-Data-Rate,,
11053,USR-Simplified-MNP-Levels,,
11054,USR-Simplified-V42bis-Usage,,
11055,USR-Mbi-Ct-PRI-Card-Slot,,
11056,USR-Mbi-Ct-TDM-Time-Slot,,
11057,USR-Mbi-Ct-PRI-Card-Span-Line,,
11058,USR-Mbi-Ct-BChannel-Used,,
11059,USR-Physical-State,,
11060,USR-Packet-Bus-Session,,
11061,USR-Server-Time,,
11062,USR-Channel-Connected-To,,
11063,USR-Slot-Connected-To,,
11064,USR-Device-Connected-To,,
11065,USR-NFAS-ID,,
11066,USR-Q931-Call-Reference-Value,,
11067,USR-Call-Event-Code,,
11068,USR-DS0,,
11069,USR-DS0s,,
11070,USR-Gateway-IP-Address,,
11071,USR-Call-Arrival-in-GMT,,
11072,USR-Call-Connect-in-GMT,,
11073,USR-Call-Terminate-in-GMT,,
11074,USR-IDS0-Call-Type,,
11075,USR-Call-Reference-Number,,
11076,USR-CDMA-Call-Reference-Number,,
11077,USR-Mobile-IP-Address,,
11078,USR-IWF-IP-Address,,
11079,USR-Called-Party-Number,,
11080,USR-Calling-Party-Number,,
11081,USR-Call-Type,,
11082,USR-ESN,,
11083,USR-IWF-Call-Identifier,,
11084,USR-IMSI,,
11085,USR-Service-Option,,
11086,USR-Disconnect-Cause-Indicator,,
11087,USR-Mobile-NumBytes-Txed,,
11088,USR-Mobile-NumBytes-Rxed,,
11089,USR-Num-Fax-Pages-Processed,,
11090,USR-Compression-Type,,
11091,USR-Call-Error-Code,,
11092,USR-Modem-Setup-Time,,
11093,USR-Call-Connecting-Time,,
11094,USR-Connect-Time,,
11095,USR-RMMIE-Manufacutere-ID,,
11096,USR-RMMIE-Product-Code,,
11097,USR-RMMIE-Serial-Number,,
11098,USR-RMMIE-Firmware-Version,,
11099,USR-RMMIE-Firmware-Build-Date,,
11100,USR-RMMIE-Status,,
11101,USR-RMMIE-Num-Of-Updates,,
11102,USR-RMMIE-x2-Status,,
11103,USR-RMMIE-Planned-Disconnect,,
11104,USR-RMMIE-Last-Update-Time,,
11105,USR-RMMIE-Last-Update-Event,,
11106,USR-RMMIE-Rcv-Tot-PwrLvl,,
11107,USR-RMMIE-Rcv-PwrLvl-3300Hz,,
11108,USR-RMMIE-Rcv-PwrLvl-3750Hz,,
11109,USR-RMMIE-PwrLvl-NearEcho-Canc,,
11110,USR-RMMIE-PwrLvl-FarEcho-Canc,,
11111,USR-RMMIE-PwrLvl-Noise-Lvl,,
11112,USR-RMMIE-PwrLvl-Xmit-Lvl,,
